,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
0,filter2$\longleftrightarrow$filter8,402,M4427_1.02,0.0254407,M4459_1.02,0.0134448,42.0,102.0,195.0,136.0,0.0002999118154979,0.0169793448316272,CTCF,EGR1,CTCF$\longleftrightarrow$EGR1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1,filter6$\longleftrightarrow$filter8,1180,M0609_1.02,0.0351668,M4459_1.02,0.0134448,294.0,60.0,235.0,153.0,0.0002780191718581,0.0161784778769231,DNMT1,EGR1,DNMT1$\longleftrightarrow$EGR1,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
2,filter6$\longleftrightarrow$filter14,1186,M0609_1.02,0.0351668,M0404_1.02,0.041414,12.0,6.0,229.0,158.0,0.0006907992780369,0.0321392654207466,DNMT1,ZNF202,DNMT1$\longleftrightarrow$ZNF202,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
3,filter6$\longleftrightarrow$filter43,1215,M0609_1.02,0.0351668,M4459_1.02,0.0168441,306.0,42.0,211.0,158.0,0.0009373670506636,0.0402254590965168,DNMT1,EGR1,DNMT1$\longleftrightarrow$EGR1,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
4,filter6$\longleftrightarrow$filter112,1284,M0609_1.02,0.0351668,M2314_1.02,0.000382499,96.0,6.0,229.0,112.0,1.782358265892855e-07,6.0911283574040186e-05,DNMT1,SP2,DNMT1$\longleftrightarrow$SP2,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
5,filter6$\longleftrightarrow$filter135,1307,M0609_1.02,0.0351668,M4640_1.02,0.0301633,192.0,78.0,217.0,133.0,0.0010730228601143,0.0449187921574836,DNMT1,ZBTB7A,DNMT1$\longleftrightarrow$ZBTB7A,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
6,filter6$\longleftrightarrow$filter138,1310,M0609_1.02,0.0351668,M4604_1.02,0.0165503,24.0,264.0,213.0,110.0,1.0381463643614198e-05,0.0013457240734163,DNMT1,ZNF263,DNMT1$\longleftrightarrow$ZNF263,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
7,filter6$\longleftrightarrow$filter140,1312,M0609_1.02,0.0351668,M6482_1.02,0.0115435,222.0,126.0,191.0,128.0,6.723844630068882e-06,0.0009647433867692,DNMT1,SP7,DNMT1$\longleftrightarrow$SP7,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
8,filter6$\longleftrightarrow$filter184,1356,M0609_1.02,0.0351668,M4459_1.02,0.00536543,192.0,42.0,223.0,116.0,0.0002129492424197,0.0129115934210364,DNMT1,EGR1,DNMT1$\longleftrightarrow$EGR1,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
9,filter8$\longleftrightarrow$filter9,1564,M4459_1.02,0.0134448,M6482_1.02,0.0081229,198.0,96.0,212.0,160.0,0.0005665286400144,0.0278719324036992,EGR1,SP7,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
